Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R22,1.1kΩ,0402-SQUARE,142.1261,-101.1286,0.0,top
R32,1.1kΩ,0402-SQUARE,142.1261,-95.8786,0.0,top
C13,10nF,0402-SQUARE,141.5011,-94.0036,90.0,top
C14,10nF,0402-SQUARE,142.7511,-94.0036,90.0,top
C15,10nF,0402-SQUARE,142.7511,-98.5036,90.0,top
C16,10nF,0402-SQUARE,141.5011,-99.2536,90.0,top
C17,10nF,0402-SQUARE,152.3761,-96.5036,0.0,top
C18,10nF,0402-SQUARE,152.3761,-97.7536,0.0,top
C19,10nF,0402-SQUARE,131.8761,-96.8786,0.0,top
C20,10nF,0402-SQUARE,131.8761,-98.1286,0.0,top
C21,10nF,0402-SQUARE,131.8761,-101.8786,0.0,top
C22,10nF,0402-SQUARE,131.8761,-103.1286,0.0,top
C23,10nF,0402-SQUARE,146.5011,-101.8786,0.0,top
C24,10nF,0402-SQUARE,149.0011,-101.8786,180.0,top
R20,150Ω,0402-SQUARE,129.12,-99.96,-45.0,top
R28,150Ω,0402-SQUARE,129.008058,-96.271942,45.0,top
C52,1µF,0603,152.5011,-94.0036,0.0,top
C54,1µF,0603,145.2511,-93.5036,180.0,top
R26,220Ω,0402-SQUARE,143.3761,-102.3786,0.0,top
R27,220Ω,0402-SQUARE,137.0011,-101.1286,0.0,bottom
R37,220Ω,0402-SQUARE,137.0011,-95.8786,0.0,bottom
R38,220Ω,0402-SQUARE,147.2511,-98.5036,0.0,bottom
R30,50Ω,0402-SQUARE,151.7511,-99.7536,-90.0,top
J4,CON-1X3-TAB-AMP-29173-3-NARROW,AMP-29173-3-NARROW,173.5011,-98.0036,-90.0,bottom
J3,HEADER-1X2CARD-EDGE,CARD_EDGE_PADS-1X2,125.5011,-98.0036,90.0,top
IC3,LMH6702,SO08,137.0011,-100.5036,-90.0,top
IC4,LMH6702,SO08,147.2511,-98.5036,-90.0,top
IC5,LMH6702,SO08,137.0011,-95.2536,-90.0,top
X2,SMA--BU-SMA-H,BU-SMA-H,157.7511,-98.0036,0.0,top
